input,label
﻿春秋左傳隱公,1231313
,
惠公元妃孟子。,1313130
孟子卒，繼室以聲子，生隱公。,13001301300130
宋武公生仲子。,1230130
仲子生而有文在其手，曰爲魯夫人，故仲子歸于我。,13000000000012300130000
生桓公而惠公薨，是以隱公立而奉之。,01301300001300000
,
元年春，王周正月，不書卽位，攝也。,13001313000130000
三月，公及邾儀父盟于蔑——邾子克也。,130001230001313000
未王命，故不書爵，曰：“儀父”，貴之也。,01300000000013000000
公攝位而欲求好於邾，故爲蔑之盟。,0130013000000000
夏四月，費伯帥師城郎。,01301300000
不書，非公命也。,00001300
,
初，鄭武公娶于申，曰武姜，生莊公及共叔段。,001230000013001301230
莊公寤生，驚姜氏，故名曰寤生，遂惡之。,1313001300001300000
愛共叔段，欲立之。,012300000
亟請於武公，公弗許。,0001300000
及莊公卽位，爲之請制。,01313000000
公曰：“制，巖邑也，虢叔死焉。佗邑唯命。”,000000000013000000000
請京，使居之，謂之京城大叔。,00000000012230
祭仲曰：“都城過百雉，國之害也。先王之制：大都，不過參國之一；中，五之一；小，九之一。今京不度，非制也，君將不堪。”,1300000000000000130000000000000000000000000000000000000000
公曰：“姜氏欲之，焉辟害？”,00001300000000
"對曰：“姜氏何厭之有？不如早爲之所，無使滋蔓,蔓，難圖也。蔓草猶不可除，況君之寵弟乎？”",00001300000130000000130000000130000000013000
公曰：“多行不義，必自斃，子姑待之。”,0000001300130000000
旣而大叔命西鄙、北鄙貳於己。,00130130130000
公子吕曰：“國不堪貳，君將若之何？欲與大叔，臣請事之；若弗與，則請除之，無生民心。”,123000000000000000013000000000000000001300
公曰：“無庸，將自及。”,000000001300
大叔又收貳以爲己邑，至於廪延。,130000000000130
子封曰：“可矣，厚將得衆。”,13000000000000
公曰：“不義，不暱。厚將崩。”,000013013000000
大叔完聚，繕甲兵，具卒乘，將襲鄭。,13000000000000000
夫人將啟之。,130000
公聞其期，曰：“可矣。”,000000000000
命子封帥車二百乘以伐京。,013001300000
京叛大叔段。,001230
段入於鄢。,00000
公伐諸鄢。,00000
五月辛丑，大叔出奔共。,13130131300
書曰：“鄭伯克段于鄢。”,000013000000
段不弟，故不言弟；如二君，故曰克；稱鄭伯，譏失教也：謂之鄭志。,0000000000000000001300000000130
不言出奔，難之也。,001300000
遂寘姜氏于城潁，而誓之曰：“不及黃泉，無相見也。”,0013013000000000130013000
旣而悔之。,13000
潁考叔爲潁谷封人，聞之，有獻於公。,12301313000000000
公賜之食。,00000
食舍肉。,0000
公問之。,0000
對曰：“小人有母，皆嘗小人之食矣；未嘗君之羹，請以遺之。”,00001300000130000000000000000
公曰：“爾有母遺，繄我獨無！”,000000000000000
潁考叔曰：“敢問何謂也？”,1230000000000
公語之故，且告之悔。,0000000000
對曰：“君何患焉？若闕地及泉，隧而相見，其誰曰不然？”,000000000000000001300130000
公從之。,0000
公入而賦：“大隧之中，其樂也融融。”,000000131300001300
姜出而賦：“大隧之外，其樂也洩洩。”,000000131300001300
遂爲母子如初。,0013000
君子曰：“潁考叔，純孝也，愛其母，施及莊公。詩曰：‘孝子不匱，永錫爾類。’，其是之謂乎！”,130001230000000001313000001300000000000000000
秋七月，天王使宰咺來歸惠公、仲子之賵。,0130130000013013000
緩，且子氏未薨，故名。,00013000000
天子七月而葬，同軌畢至；諸侯五月，同盟至；大夫三月，同位至；士踰月，外姻至。,13130001300013130130013130130000001300
贈死不及尸，弔生不及哀，豫凶事，非禮也。,00000000000001300000
八月，紀人伐夷。,13000000
夷不告，故不書。,00000000
有蜚。,000
不爲災，亦不書。,00000000
惠公季年，敗宋師于黃。,13130013000
公立而求成焉。,0000000
九月，及宋人盟于宿，始通也。,13000000000000
冬十月庚申，改葬惠公。,01313013130
公弗臨，故不書。,00000000
惠公之薨也，有宋師，大子少，葬故有闕，是以改葬。,130000000013000000000130
衞侯來會葬，不見公，亦不書。,13013000000000
鄭共叔之亂，公孫滑出奔衞。,1230001231300
衞人爲之伐鄭，取廪延。,13000000130
鄭人以王師、虢師伐衞南鄙。,1301301300130
請師于邾，邾子使私于公子豫。,00000130001230
豫請往，公弗許，遂行，及邾人、鄭人盟于翼。,000000000000130130000
不書，非公命也。,00001300
新作南門，不書，亦非公命也。,13130000001300
十二月，祭伯來，非王命也。,1230130001300
衆父卒，公不與小斂，故不書日。,130000013000000
,
二年春，公會戎于潛，修惠公之好也。,13000000000130000
戎請盟，公辭。,0000000
莒子娶于向，向姜不安莒而歸。,13000013000000
夏，莒人入向，以姜氏還。,001300001300
司空無駭入極，費庈父勝之。,1313000123000
戎請盟。,0000
秋，盟于唐，復修戎好也。,000000000000
九月，紀裂繻來逆女，卿爲君逆也。,1301230000000000
冬，紀子帛、莒子盟于密，魯故也。,0012301300000000
鄭人伐衞，討公孫滑之亂也。,1300001230000
,
三年春，王三月，壬戌，平王崩。,130001301301300
赴以庚戌，故書之。,001300000
夏，君氏卒。——聲子也。,001300131300
不赴于諸侯，不反哭于寢，不祔于姑，故不曰“薨”。,000130013000000000000000
不稱夫人，故不言葬，不書姓。,00130000000000
爲公故，曰“君氏”。,0000001300
鄭武公、莊公爲平王卿士。,123013013130
王貳于虢。,00000
鄭伯怨王。,13000
王曰：“無之。”,00000000
故周、鄭交質。,0000130
王子狐爲質於鄭，鄭公子忽爲質於周。,12300000122300000
王崩，周人將畀虢公政。,00013001300
四月，鄭祭足帥師取溫之麥。,1301230000000
秋，又取成周之禾。,000013000
周、鄭交惡。,000130
