label,input
0010101,﻿春秋左傳隱公
1,
0101011,惠公元妃孟子。
01110110111011,孟子卒，繼室以聲子，生隱公。
0011011,宋武公生仲子。
01111111111100111011111,仲子生而有文在其手，曰爲魯夫人，故仲子歸于我。
10110111110111111,生桓公而惠公薨，是以隱公立而奉之。
1,
01110101111011111,元年春，王周正月，不書卽位，攝也。
011110011110101111,三月，公及邾儀父盟于蔑——邾子克也。
10111111111101111111,未王命，故不書爵，曰：“儀父”，貴之也。
1011101111111111,公攝位而欲求好於邾，故爲蔑之盟。
10110111111,夏四月，費伯帥師城郎。
11110111,不書，非公命也。
1,
110011111101110110011,初，鄭武公娶于申，曰武姜，生莊公及共叔段。
0101110111110111111,莊公寤生，驚姜氏，故名曰寤生，遂惡之。
100111111,愛共叔段，欲立之。
1110111111,亟請於武公，公弗許。
10101111111,及莊公卽位，爲之請制。
111111111101111111111,公曰：“制，巖邑也，虢叔死焉。佗邑唯命。”
11111111100011,請京，使居之，謂之京城大叔。
0111111111111111011111111111111111111111111111111111111111,祭仲曰：“都城過百雉，國之害也。先王之制：大都，不過參國之一；中，五之一；小，九之一。今京不度，非制也，君將不堪。”
11110111111111,公曰：“姜氏欲之，焉辟害？”
11110111111011111111011111111011111111101111,"對曰：“姜氏何厭之有？不如早爲之所，無使滋蔓,蔓，難圖也。蔓草猶不可除，況君之寵弟乎？”"
1111110111011111111,公曰：“多行不義，必自斃，子姑待之。”
11011011011111,旣而大叔命西鄙、北鄙貳於己。
001111111111111111101111111111111111110111,公子吕曰：“國不堪貳，君將若之何？欲與大叔，臣請事之；若弗與，則請除之，無生民心。”
111111110111,公曰：“無庸，將自及。”
011111111111011,大叔又收貳以爲己邑，至於廪延。
01111111111111,子封曰：“可矣，厚將得衆。”
111101101111111,公曰：“不義，不暱。厚將崩。”
01111111111111111,大叔完聚，繕甲兵，具卒乘，將襲鄭。
011111,夫人將啟之。
111111111111,公聞其期，曰：“可矣。”
101110111111,命子封帥車二百乘以伐京。
110011,京叛大叔段。
11111,段入於鄢。
11111,公伐諸鄢。
01011010111,五月辛丑，大叔出奔共。
111101111111,書曰：“鄭伯克段于鄢。”
1111111111111111110111111111011,段不弟，故不言弟；如二君，故曰克；稱鄭伯，譏失教也：謂之鄭志。
110111111,不言出奔，難之也。
1101101111111111011101111,遂寘姜氏于城潁，而誓之曰：“不及黃泉，無相見也。”
01111,旣而悔之。
00110101111111111,潁考叔爲潁谷封人，聞之，有獻於公。
11111,公賜之食。
1111,食舍肉。
1111,公問之。
11110111111011111111111111111,對曰：“小人有母，皆嘗小人之食矣；未嘗君之羹，請以遺之。”
111111111111111,公曰：“爾有母遺，繄我獨無！”
0011111111111,潁考叔曰：“敢問何謂也？”
1111111111,公語之故，且告之悔。
111111111111111110111011111,對曰：“君何患焉？若闕地及泉，隧而相見，其誰曰不然？”
1111,公從之。
111111010111110111,公入而賦：“大隧之中，其樂也融融。”
111111010111110111,姜出而賦：“大隧之外，其樂也洩洩。”
1101111,遂爲母子如初。
011110011111111110101111110111111111111111111,君子曰：“潁考叔，純孝也，愛其母，施及莊公。詩曰：‘孝子不匱，永錫爾類。’，其是之謂乎！”
1011011111101101111,秋七月，天王使宰咺來歸惠公、仲子之賵。
11101111111,緩，且子氏未薨，故名。
01011110111101011011101011011111110111,天子七月而葬，同軌畢至；諸侯五月，同盟至；大夫三月，同位至；士踰月，外姻至。
11111111111110111111,贈死不及尸，弔生不及哀，豫凶事，非禮也。
01111111,八月，紀人伐夷。
11111111,夷不告，故不書。
111,有蜚。
11111111,不爲災，亦不書。
01011101111,惠公季年，敗宋師于黃。
1111111,公立而求成焉。
01111111111111,九月，及宋人盟于宿，始通也。
10101101011,冬十月庚申，改葬惠公。
11111111,公弗臨，故不書。
011111111101111111111011,惠公之薨也，有宋師，大子少，葬故有闕，是以改葬。
01101111111111,衞侯來會葬，不見公，亦不書。
0011110010111,鄭共叔之亂，公孫滑出奔衞。
01111111011,衞人爲之伐鄭，取廪延。
0110110111011,鄭人以王師、虢師伐衞南鄙。
11111011110011,請師于邾，邾子使私于公子豫。
111111111111011011111,豫請往，公弗許，遂行，及邾人、鄭人盟于翼。
11110111,不書，非公命也。
01011111110111,新作南門，不書，亦非公命也。
0011011110111,十二月，祭伯來，非王命也。
011111101111111,衆父卒，公不與小斂，故不書日。
1,
01111111111011111,二年春，公會戎于潛，修惠公之好也。
1111111,戎請盟，公辭。
01111101111111,莒子娶于向，向姜不安莒而歸。
110111110111,夏，莒人入向，以姜氏還。
